downcase_name,downcase_name
healthy,6425
breast cancer,4170
obesity,3888
hypertension,2413
prostate cancer,2345
pain,2341
depression,2226
asthma,2134
schizophrenia,1929
stroke,1889
"diabetes mellitus, type 2",1791
hiv infections,1770
diabetes,1697
coronary artery disease,1674
colorectal cancer,1602
cancer,1557
lung cancer,1499
lymphoma,1463
heart failure,1429
healthy volunteers,1357
type 2 diabetes mellitus,1349
multiple myeloma,1300
rheumatoid arthritis,1282
leukemia,1255
type 2 diabetes,1176
diabetes mellitus,1143
hiv,1100
ovarian cancer,1037
atrial fibrillation,1027
pancreatic cancer,994
multiple sclerosis,979
non-small cell lung cancer,978
influenza,963
osteoarthritis,945
anxiety,930
major depressive disorder,917
cardiovascular diseases,907
chronic obstructive pulmonary disease,889
head and neck cancer,844
overweight,788
infertility,785
parkinson's disease,781
melanoma,779
alzheimer's disease,779
gastric cancer,748
cystic fibrosis,742
parkinson disease,740
hepatocellular carcinoma,738
postoperative pain,733
acute myeloid leukemia,728
"unspecified adult solid tumor, protocol specific",712
pregnancy,708
metabolic syndrome,691
bipolar disorder,690
cardiovascular disease,683
anemia,660
physical activity,658
low back pain,651
neoplasms,650
chronic pain,647
smoking cessation,637
myelodysplastic syndromes,634
hepatitis c,626
osteoporosis,621
chronic kidney disease,609
"diabetes mellitus, type 1",605
"pain, postoperative",604
epilepsy,603
"pulmonary disease, chronic obstructive",603
alzheimer disease,600
quality of life,599
psoriasis,597
inflammation,589
myocardial infarction,582
insulin resistance,575
copd,571
malaria,568
hypercholesterolemia,561
knee osteoarthritis,542
healthy subjects,542
aging,537
cervical cancer,536
anesthesia,532
solid tumors,526
obstructive sleep apnea,519
type 1 diabetes,509
surgery,507
ulcerative colitis,501
bladder cancer,499
breast neoplasms,492
esophageal cancer,491
metastatic breast cancer,488
dementia,483
smoking,475
crohn's disease,471
sarcoma,468
glaucoma,463
"osteoarthritis, knee",458
chronic lymphocytic leukemia,455
type 1 diabetes mellitus,443
insomnia,443
glioblastoma,441
myelodysplastic syndrome,440
tuberculosis,440
fibromyalgia,437
traumatic brain injury,436
atopic dermatitis,432
cataract,426
hiv infection,424
"carcinoma, non-small-cell lung",422
mild cognitive impairment,421
acute coronary syndrome,421
atherosclerosis,416
sepsis,413
myopia,406
non small cell lung cancer,400
schizoaffective disorder,397
rectal cancer,389
brain and central nervous system tumors,384
fatigue,382
spinal cord injury,372
contraception,372
solid tumor,370
heart diseases,369
migraine,368
hepatitis b,367
cerebral palsy,366
advanced solid tumors,366
vitamin d deficiency,360
metastatic cancer,358
ocular hypertension,357
colon cancer,356
end stage renal disease,356
attention deficit hyperactivity disorder,350
peripheral arterial disease,349
autism spectrum disorder,346
metastatic colorectal cancer,339
acute lymphoblastic leukemia,338
weight loss,335
sickle cell disease,335
irritable bowel syndrome,334
acne vulgaris,332
advanced cancer,330
stress,327
neuroblastoma,322
healthy volunteer,322
critical illness,315
liver cancer,313
renal cell carcinoma,311
fallopian tube cancer,309
colorectal neoplasms,307
spinal cord injuries,306
coronary disease,306
malnutrition,300
pneumonia,298
ischemic stroke,297
endometrial cancer,297
dental caries,296
dyslipidemia,296
congestive heart failure,295
polycystic ovary syndrome,294
kidney cancer,294
kidney transplantation,292
septic shock,290
chronic hepatitis c,289
posttraumatic stress disorder,289
hyperlipidemia,287
blood pressure,285
non-hodgkin's lymphoma,284
infection,282
amyotrophic lateral sclerosis,280
"hepatitis c, chronic",280
glioblastoma multiforme,275
erectile dysfunction,275
systemic lupus erythematosus,273
hiv/aids,270
constipation,270
melanoma (skin),269
multiple myeloma and plasma cell neoplasm,269
pulmonary hypertension,269
prostatic neoplasms,267
overactive bladder,266
acute myocardial infarction,262
chronic obstructive pulmonary disease (copd),260
sleep,259
overweight and obesity,258
anxiety disorders,257
pharmacokinetics,256
pulmonary arterial hypertension,256
nicotine dependence,256
health behavior,255
diarrhea,254
allergic rhinitis,253
cirrhosis,253
urinary incontinence,252
alcohol dependence,249
acute kidney injury,249
diabetic macular edema,248
sarcopenia,245
chronic low back pain,242
coronary heart disease,239
ptsd,238
tobacco use disorder,237
cognitive impairment,234
menopause,234
substance-related disorders,232
myocardial ischemia,232
chronic hepatitis b,231
crohn disease,230
neoplasm metastasis,227
neck pain,226
alcoholism,225
metastatic melanoma,220
glioma,220
delirium,220
"arthritis, rheumatoid",218
morbid obesity,215
substance abuse,213
small cell lung cancer,212
depressive disorder,209
autism,209
venous thromboembolism,209
liver cirrhosis,208
major depression,206
prediabetes,206
dry eye,205
alcohol use disorder,203
periodontitis,200
exercise,200
adhd,199
"lymphoma, non-hodgkin",198
oxidative stress,198
acute pain,197
sedentary lifestyle,197
endometriosis,197
diabetic retinopathy,196
cardiac arrest,196
pulmonary embolism,195
neuropathic pain,195
"depressive disorder, major",195
generalized anxiety disorder,195
respiratory failure,194
age-related macular degeneration,193
hyperglycemia,193
burns,191
obsessive-compulsive disorder,191
acute myelogenous leukemia,190
trauma,189
stage iv breast cancer,188
recurrent adult acute myeloid leukemia,188
mantle cell lymphoma,188
opioid-related disorders,186
tetanus,184
diphtheria,183
"carcinoma, hepatocellular",183
alcohol abuse,183
diabetes mellitus type 2,182
ischemic heart disease,181
postoperative complications,181
macular degeneration,180
post-traumatic stress disorder,178
human immunodeficiency virus,178
cerebrovascular accident,176
recurrent mantle cell lymphoma,175
plaque psoriasis,173
chronic periodontitis,173
hearing loss,172
pelvic organ prolapse,171
back pain,171
endothelial dysfunction,171
follicular lymphoma,170
benign prostatic hyperplasia,170
nasopharyngeal carcinoma,170
childhood obesity,169
diffuse large b-cell lymphoma,169
idiopathic pulmonary fibrosis,168
nausea,167
medication adherence,167
chronic heart failure,166
postoperative nausea and vomiting,166
colonoscopy,166
"kidney failure, chronic",166
lung diseases,165
hodgkin lymphoma,165
head and neck neoplasms,164
hiv-1 infection,164
non-alcoholic fatty liver disease,164
"sleep apnea, obstructive",163
liver transplantation,162
hypotension,161
graft versus host disease,160
cocaine dependence,160
recurrent small lymphocytic lymphoma,159
shoulder pain,159
gastroesophageal reflux disease,159
malignant melanoma,158
chronic disease,157
sleep apnea,157
end-stage renal disease,157
psychotic disorders,157
arthritis,157
essential hypertension,157
"stress disorders, post-traumatic",156
peripheral artery disease,156
seasonal allergic rhinitis,155
aortic valve stenosis,155
nsclc,155
depressive symptoms,155
chronic myelomonocytic leukemia,154
non-hodgkin lymphoma,154
pancreatic neoplasms,154
cholangiocarcinoma,153
head and neck squamous cell carcinoma,153
lung neoplasms,152
inflammatory bowel disease,152
cardiovascular risk factor,151
"heart failure, congestive",151
gingivitis,150
actinic keratosis,150
brain metastases,149
triple negative breast cancer,149
stress urinary incontinence,148
type2 diabetes,147
inflammatory bowel diseases,147
adult acute myeloid leukemia with 11q23 (mll) abnormalities,147
hemophilia a,146
recurrent grade 2 follicular lymphoma,146
recurrent grade 1 follicular lymphoma,146
stage iiia breast cancer,145
hypoglycemia,145
stage iiib breast cancer,145
carpal tunnel syndrome,145
cardiac surgery,145
brain tumor,145
soft tissue sarcoma,145
preterm birth,144
stage iv non-small cell lung cancer,144
adult acute myeloid leukemia with t(16;16)(p13;q22),144
substance use disorders,144
dyslipidemias,144
vomiting,143
elderly,143
diabetic foot ulcer,143
helicobacter pylori infection,143
acute respiratory distress syndrome,143
peripheral vascular disease,142
premature birth,142
opioid use,142
headache,141
chronic myeloid leukemia,141
tinnitus,141
psychosis,141
urinary tract infections,140
adult acute myeloid leukemia with t(8;21)(q22;q22),140
cocaine-related disorders,139
dysphagia,139
adult acute myeloid leukemia with inv(16)(p13;q22),139
neuroendocrine tumors,139
cesarean section,139
poliomyelitis,138
renal insufficiency,137
heart disease,137
stomach neoplasms,137
hypogonadism,137
stage iiic breast cancer,137
open-angle glaucoma,136
osteoarthritis of the knee,136
refractory chronic lymphocytic leukemia,135
mental disorders,135
renal failure,135
hypertriglyceridemia,135
recurrent marginal zone lymphoma,135
metabolic syndrome x,135
squamous cell carcinoma of the head and neck,134
"stress, psychological",134
recurrent grade 3 follicular lymphoma,134
recurrent adult diffuse large cell lymphoma,134
surgical site infection,134
hot flashes,133
congenital heart disease,133
alcohol drinking,133
attention deficit disorder with hyperactivity,132
osteopenia,132
diabetic nephropathy,131
ankylosing spondylitis,131
postpartum hemorrhage,130
renal impairment,130
"hepatitis b, chronic",129
allergy,129
thrombosis,129
pancreatic adenocarcinoma,128
hemodialysis,128
analgesia,128
tumors,128
total knee arthroplasty,128
chronic kidney diseases,127
adenocarcinoma,127
vascular diseases,127
healthy participants,127
anorexia nervosa,126
pertussis,126
deep vein thrombosis,126
macular edema,126
primary peritoneal cavity cancer,126
respiratory insufficiency,126
secondary acute myeloid leukemia,126
gingival recession,126
panic disorder,125
gestational diabetes,125
bleeding,125
dry eye syndromes,125
recurrent breast cancer,125
astigmatism,124
hypoxia,124
sexually transmitted diseases,124
suicide,124
"carcinoma, renal cell",123
squamous cell carcinoma,123
chronic myelogenous leukemia,123
urothelial carcinoma,123
psoriatic arthritis,123
splenic marginal zone lymphoma,122
duchenne muscular dystrophy,122
hepatic impairment,122
cigarette smoking,122
gastroesophageal reflux,122
ovarian neoplasms,122
obese,121
dietary modification,121
bronchopulmonary dysplasia,121
hip fractures,121
diet modification,121
"dermatitis, atopic",120
aids,120
critical limb ischemia,120
hemorrhage,120
presbyopia,119
recurrent ovarian carcinoma,119
bipolar depression,119
lymphedema,119
malignant neoplasm,119
gout,119
substance use,118
psoriasis vulgaris,118
neutropenia,117
labor pain,117
carcinoma,117
thrombocytopenia,117
"leukemia, myeloid, acute",117
malignant glioma,116
fecal incontinence,116
"infertility, female",116
iron deficiency anemia,115
brain injuries,115
liver metastases,115
her2/neu negative,115
small lymphocytic lymphoma,115
children,115
muscle weakness,114
kidney diseases,114
